Site,Date,Transect,Start Lat,Start Long,End Lat ,End Long,Transect length (m),Species,Number,
Carmel Bay,20209219,5,N 36.54383,W 121.93407,N 36.54357,W 121.93416,30,S. purpuratus ,225,
Carmel Bay,20200219,1,N 36.54409,W 121.9337,N 36.54434,W 121.93379,30,S. purpuratus ,773,
Hopkins,20200210,1,N 36.62147,W 121.90385,NA,NA,30,S. purpuratus ,198,
Hopkins,20200210,2,N 36.6212,W 121.9035,N 36.62142,W 121.90367,30,S. purpuratus ,19,
Hopkins,20200210,3,N 36.62110,W 121.90330,N 36.62133,W 121.90348,30,S. purpuratus ,18,
Hopkins,20200210,5,N 36.6221,W 121.90324,N 36.62147,W 121.90343,26,S. purpuratus ,36,
Hopkins,20200210,6,N 36.54381,W 121.93406,N 36.54356,W 121.93416,30,S. purpuratus ,119,
Cannery Row,20200309,2,N 36.61386,W 121.89747,N 36.61398,W 121.89765,30,S. purpuratus ,838,
Carmel Bay,20200219,6,N 36.54377 ,W 121.93402,N 36.54352,W 121.93412,30,S. purpuratus ,95,
Carmel Point ,20200219,5,N 36.54383,W 121.93407,N 36.54357,W 121.93416,30,S. purpuratus ,216,
Cannery Row,20210626,1,36.61378,121.89741,36.61391,121.89752,20,S. purpuratus ,858,
Cannery Row,20210626,2,36.61380,121.89752,36.61392,121.89756,20,S. purpuratus ,1249,
Cannery Row,20210626,3,36.61393,121.89761,36.61400,121.89775,20,S. purpuratus ,4139,
Cannery Row,20210626,4,36.61407,121.89777,36.61425,121.89784,20,S. purpuratus ,2622,
Cannery Row,20210628,5,36.61426,121.89788,36.61443,121.89787,20,S. purpuratus ,1585,
Cannery Row,20210628,6,36.61452,121.8977,36.61444,121.89789,20,S. purpuratus ,2889,
Carmel Point,20210710,1,36.54432,121.93375,36.54414,121.93387,20,S. purpuratus ,979,
Carmel Point,20210710,2,36.5441,121.93386,36.54395,121.93394,20,S. purpuratus ,637,
Carmel Point,201210710,3,36.54392,121.93395,36.54382,121.93414,20,S. purpuratus ,254,
Carmel Point,20210714,4,36.54378,121.93433,36.54359,121.93419,20,S. purpuratus ,1410,
Carmel Point,20210711,5,36.54359,121.93425,36.54346,121.93418,20,S. purpuratus ,1521,
Carmel Point,20210711,6,36.54421,121.93368,36.54408,121.93379,20,S. purpuratus ,637,
China Rock,20210627,1,36.60627,121.95963,36.60643,121.95956,20,S. purpuratus ,898,
China Rock,20210627,2,36.60607,121.95964,36.60624,121.95961,29,S. purpuratus ,1559,
China Rock,20210627,3,36.60605,121.95968,36.60595,121.95988,20,S. purpuratus ,76,
China Rock,20210713,4,36.60576,121.95997,36.60559,121.96005,20,S. purpuratus ,6,
China Rock,20210713,5,36.60554,121.96017,36.60537,121.96011,20,S. purpuratus ,17,
China Rock,20210713,6,36.60529,121.96017,36.60515,121.96006,20,S. purpuratus ,48,
Hopkins,20210723,1,36.62128,121.90355,36.62142,121.90365,20,S. purpuratus ,103,
Hopkins,20210723,2,36.54352,121.93419,36.6213,121.90335,20,S. purpuratus ,6,
Hopkins,20210723,3,36.62126,121.9032,36.6214,121.90339,25,S. purpuratus ,32,
Hopkins,20210723,4,36.62126,121.90327,36.62138,121.90343,20,S. purpuratus ,0,
Hopkins,20210724,5,36.6215,121.90343,36.6216,121.90361,20,S. purpuratus ,109,
Hopkins,20210724,6,36.62172,121.90352,36.62125,121.90372,20,S. purpuratus ,291,
Hopkins,20210724,7,36.62176,121.90339,36.62197,121.90342,20,S. purpuratus ,1777,
Hopkins,20210724,8,36.62132,121.90369,36.62144,121.90384,20,S. purpuratus ,149,
Pescadero Point,20210725,1,36.56144,121.95501,36.56148,121.95447,20,S. purpuratus ,2604,
Pescadero Point,20210725,2,36.56146,121.954217,36.56128,121.95452,20,S. purpuratus ,2774,
Pescadero Point,20210725,3,36.5613,121.95453,36.56121,121.95436,20,S. purpuratus ,6199,
Pescadero Point,20210721,4,36.56119,121.95417,36.560108,121.95408,20,S. purpuratus ,4331,
Pescadero Point,20210726,5,36.56099,121.95384,36.56093,121.95366,20,S. purpuratus ,5404,
Pescadero Point,20210726,6,36.56093,121.95362,36.56085,121.95341,20,S. purpuratus ,4686,
Point Pinos,20210624,1,36.63766,121.93625,36.63775,121.93644,20,S. purpuratus ,196,
Point Pinos,20210624,2,36.63791,121.93667,36.63801,121.93667,20,S. purpuratus ,507,
Point Pinos,20210624,3,36.63803,121.93687,36.63819,121.93697,20,S. purpuratus ,678,
Point Pinos,20210624,4,36.63837,121.93707,NA,NA,20,S. purpuratus ,837,
Point Pinos,20210629,5,36.63845,121.93727,36.63843,121.93748,20,S. purpuratus ,454,
Point Pinos,20210629,6,36.63841,121.93748,36.63851,121.93765,20,S. purpuratus ,126,
Sea Palm,20210625,1,36.62799,121.92024,36.62784,121.92014,20,S. purpuratus ,191,
Sea Palm,20210625,2,36.62804,121.92047,36.62801,121.92026,20,S. purpuratus ,478,
Sea Palm,20210625,3,36.62809,121.92063,36.62818,121.92081,20,S. purpuratus ,2,
Sea Palm,20210712,5,36.62934,121.92155,36.62951,121.92147,20,S. purpuratus ,86,
Sea Palm,20210712,6,36.62953,121.92141,36.6297,121.92133,20,S. purpuratus ,1383,
Sea Palm ,20210712,4,36.6288,121.92147,36.62897,121.9216,20,S. purpuratus ,2,
Cannery Row,20220615,1,36.61383,-121.89746,36.61394,-121.89757,20,S_purpuratus,2975,
Cannery Row,20220615,2,36.61395,-121.89761,36.61401,-121.89774,20,S_purpuratus,1931,
Cannery Row,20220615,3,36.47465,-121.92922,36.46223,-121.93739,20,S_purpuratus,757,
Cannery Row,20220616,4,36.61402,-121.89772,36.61417,-121.89785,20,S_purpuratus,1281,
Cannery Row,20220616,5,36.61454,-121.89771,36.61444,-121.89785,20,S_purpuratus,6028,
Cannery Row,20220617,6,36.61425,-121.89783,36.61437,-121.89789,20,S_purpuratus,2439,
Carmel Point,20220717,1,36.54432,-121.93375,36.54417,-121.93382,20,S_purpuratus,1751,
Carmel Point,20220717,2,36.54413,-121.9338,36.54396,-121.93394,20,S_purpuratus,3803,
Carmel Point,20220727,3,36.54433,-121.93366,36.54415,-121.93378,20,S_purpuratus,1500,
Carmel Point,20220728,4,36.54386,-121.93409,36.54374,-121.9342,20,S_purpuratus,1818,
Carmel Point,20220730,5,36.5437,-121.93417,36.54351,-121.93419,20,S_purpuratus,2302,
China Rock,20220702,1,36.60599,-121.95966,36.60613,-121.95956,20,S_purpuratus,105,
China Rock,20220702,2,36.60595,-121.95965,36.60610,-121.95955,20,S_purpuratus,76,
China Rock,20220702,3,36.60616,-121.95954,36.60631,-121.95947,20,S_purpuratus,684,
China Rock,20220703,4,36.60585,-121.95988,36.60573,-121.95998,20,S_purpuratus,0,
China Rock,20220703,5,36.60586,-121.96000,36.60571,-121.96014,20,S_purpuratus,386,
China Rock,20220712,6,36.60544,-121.96029,36.60529,-121.9602,20,S_purpuratus,500,
Hopkins,20220628,1,36.62117,-121.90332,36.62130,-121.90344,20,S_purpuratus,32,
Hopkins,20220629,2,36.62167,-121.90320,36.62137,-121.90337,20,S_purpuratus,17,
Hopkins,20220629,3,36.62172,-121.90372,36.62165,-121.90352,20,S_purpuratus,1533,
Hopkins,20220630,4,36.62146,-121.90356,36.62163,-121.90355,20,S_purpuratus,629,
Hopkins,20220630,5,36.62180,-121.90334,36.62195,-121.90362,20,S_purpuratus,1656,
Hopkins,20220630,6,36.62152,-121.90394,36.62143,-121.90374,20,S_purpuratus,695,
Hopkins,20220701,7,36.62144,-121.90372,36.62133,-121.90357,20,S_purpuratus,44,
Hopkins,20220701,8,36.62148,-121.90353,36.62160,-121.90340,20,S_purpuratus,2826,
Pescadero,20220713,1,36.56124,-121.95455,36.56117,-121.95437,20,S_purpuratus,8791,
Pescadero,20220713,2,36.56116,-121.95438,36.56102,-121.95425,20,S_purpuratus,6041,
Pescadero,20220714,3,36.56115,-121.95425,36. 56103,-121.95415,20,S_purpuratus,3256,
Pescadero,20220715,4,36.5611,-121.95414,36.56102,-121.95395,20,S_purpuratus,4575,
Pescadero,20220715,5,36.56101,-121.95424,36.56111,-121.95441,20,S_purpuratus,530,
Pescadero Point,20220716,6,36.56126,-121.95464,36.5615,-121.95472,20,S_purpuratus,2967,
Point Pinos,20220613,1,36.63289,-121.93671,36.63800,-121.93683,20,S_purpuratus,1354,
Point Pinos,20220614,2,36.63805,-121.93686,36.63826,-121.93699,20,S_purpuratus,662,
Point Pinos,20220614,3,36.6383,-121.93702,36.63843,-121.93719,20,S_purpuratus,213,
Point Pinos,20220618,4,36.63845,-121.93731,36.63847,-121.93752,20,S_purpuratus,330,
Point Pinos,20220619,5,36.63842,-121.93734,36.63844,-121.93754,20,S_purpuratus,63,
Point Pinos,20220627,6,36.63832,-121.93824,36.63846,-121.93835,20,S_purpuratus,133,
Soberanes,20220810,1,36.45287,-121.93024,36.45290,-121.93005,20,S_purpuratus,1689,
Soberanes,20220811,2,36.45280,-121.93001,36.45282,-121.93024,20,S_purpuratus,3079,
Soberanes,20220813,3,36.45281,-121.93002,36.45280,-121.93019,20,S_purpuratus,2429,
Soberanes,20220814,4,36.45251,-121.92971,36.45247,-121.92993,20,S_purpuratus,563,
Cannery Row,20220228,1,36.61391N,121.89756W,36.61379N,121.89744W,20,S. purpuratus,1668,
Cannery Row,20220228,2,36.61393 N,121.89755 W,36.61400 N,121.89779 W,20,S. purpuratus,1689,
Cannery Row,20220228,3,36.61402 N,121.89778 W,36.61417 N,121.89788 W,20,S. purpuratus,1078,
Cannery Row,20220228,4,36.61422N,121.89785W,36.61440N,121.8973W,20,S. purpuratus,1017,
Cannery Row,20220228,5,36.61442N,121.89790W,26.61452N,121.89774W,20,S. purpuratus,2835,
Cannery Row,20220228,6,36.61452N,121.89774W,36.161456N,121.89793W,20,S. purpuratus,1514,
Carmel Point,20220216,1,36.54418 N,121.93373 W,36.54402 N,121.93382 W,20,S. purpuratus,870,
Carmel Point,20220216,2,36.54397N,121.93382W,36.54383N,121.93392W,20,S. purpuratus,118,
Carmel Point,20220216,3,36.54382N,121.93400W,36.54370N,121.93414W,20,S. purpuratus,219,
Carmel Point,20220216,4,36.54369 N,121.93414 W,36.54351 N,121.93413 W,20,S. purpuratus,348,
Carmel Point,20220411,5,36.543333N,121.934167W,36.543333N,121.933889W,20,S. purpuratus,792,
Carmel Point,20220411,6,36.543333N,121.933889W,36.543056N,121.933889W,20,S. purpuratus,640,
Hopkins,20220314,1,36.62098N,121.90336W,36.62112N,121.90346W,20,S. purpuratus,1,
Hopkins,20220314,2,36.62115 N,121.90346 W,36.62129 N,121.9035W,20,S. purpuratus,9,
Hopkins,20220314,3,36.62115 N,121.90346 W,36.62129 N,121.9035W,20,S. purpuratus,135,
Hopkins,20220314,4,36.62136N,121.90363W,36.62151N,121.90372W,20,S. purpuratus,383,
Hopkins,20220314,5,36.62150 N,121.90556 W,36.62160 N,121.90340 W,20,S. purpuratus,312,
Hopkins,20220314,6,36.62138 N,121.90345 W,36.62124 N,121.90340 W,20,S. purpuratus,0,
Pt Pinos,20220214,1,36.63766N,121.93630W,36.63778N,121.93636W,20,S. purpuratus,339,
Pt Pinos,20220214,2,36.63790N,121.93672W,36.63805N,121.93687W,20,S. purpuratus,627,
Pt Pinos,20220214,3,36.63806N,121.93687W,36.63891N,121.93697W,20,S. purpuratus,397,
Pt Pinos,20220214,4,36.63829N,121.93700W,36.63843N,121.93715W,20,S. purpuratus,406,
Pt Pinos,20220302,5,36.63848N,121.93714W,36.63844N,121.93735W,20,S. purpuratus,1168,
Pt Pinos,20220302,6,36.63842N,121.93732W,36.63846N,121.93755W,20,S. purpuratus,384,
Cannery Row,20230419,2,36.613780N,121.89746W ,36.61407N,121.89735W,20,S. purpuratus,175,
Cannery Row,20230319,1,36.613788N,121.897391W,36.613923N,121.897928W,20,S. purpuratus,181,
Cannery Row,20230319,3,36.61407N,121.89774W,36.61407N,121.89747W,20,S. purpuratus,599,
Cannery Row,20230421,6,36.61437N,121.89792W,36.6145N,121.89775W,20,S. purpuratus,2325,
Cannery Row,20230421,4,36.61401N,121.89778W,36.61416N,121.89785W,20,S. purpuratus,215,
Cannery Row,20230421,5,36.61418N,121.89784W,36.61435N,121.89791W,20,S. purpuratus,414,
Carmel Point,20230417,2,36.54415N,121.93379W,36.54398N,121.93384W,20,S. purpuratus,456,
Carmel Point,20230417,3,36.54369N,121.93389W,36.54384N,121.93401W,20,S. purpuratus,111,
Carmel Point,20230417,1,36.54434,-121.93371,36.54417,-121.93378,20,S. purpuratus,1250,
Carmel Point,20230417,4,36.54384N,121.939404W,36.56372N,121.93417W,20,S. purpuratus,667,
Hopkins,20230412,2,36.62113N,121.90326W,36.62126N,121.90339W,20,S. purpuratus,1,
Hopkins,20230412,1,36.6213N,121.90356W,36.6214981N,121.9036872W,20,S. purpuratus,96,
Hopkins,20230416,6,36.62173N,121.90375W,36.62186N,121.90359W,20,S. purpuratus,423,
Hopkins,20230416,5,36.62154N,121.80350W,36.62174N,121.90360W,20,S. purpuratus,22,
Hopkins,20230412,3,36.62121N,121.90324W,36.62104N,121.90323N,20,S. purpuratus,206,
Hopkins,20230416,4,35.62136N,121.909331W,36.62153N,121.90334W,20,S. purpuratus,13,
Pt Pinos,20230306,2,36.63795 N,121.93669 W,36.63804 N , 121.93677W,20,S. purpuratus,85,
Pt Pinos,20230306,1,36.63756N,121.93589W,36.63767N,121.935671W,20,S. purpuratus,65,
Pt Pinos,20230320,3,36.63757N,121.93603W,36.63767N,121.93623W,20,S. purpuratus,89,
Pt Pinos,20230320,4,36.638058N,121.936839W,36.63818N,121.93696W,20,S. purpuratus,19,
Pt Pinos,20230320,6,36.63837N,121.93705W,36.63850N,121.93721W,20,S. purpuratus,106,
Pt Pinos,20230320,5,36.63821N,121.93694W,36.63835N,121.93702W,20,S. purpuratus,3,
Pt Pinos,20230320,7,36.63847N,121.93727W,36.63842N,121.93749W,20,S. purpuratus,7,
Pt Pinos,20230320,3,36.63757N,121.93603W,36.63767N,121.93623W,20,S. purpuratus,89,
Soberanes,20230422,1,36.452084N,121.929642W,36.45272N,121.92994W,20,S. purpuratus,1492,
Soberanes,20230422,3,36.452407N,121.930027W,36.452514N,121.929839W,20,S. purpuratus,229,
Soberanes,20230422,2,36.452084N,121.929642W,36.45272N,121.92994W,20,S. purpuratus,1364,
Soberanes,20230422,4,36.45239N,121.9300027W,36.452321N,121.9298390W,20,S. purpuratus,957,
Cannery Row,20240411,1,36.61367,-121.89729,36.6139,-121.89755,20,S. purpuratus,360,
Cannery Row,20240410,2,36.61378,-121.89739,36.1388,-121.89758,20,S. purpuratus,234, 
Cannery Row,20240411,3,36.6139,-121.89758,36.61401,-121.89774,20,S. purpuratus,204,
Cannery Row,20240410,4,36.61402,-121.89776,36.61414,-121.89788,20,S. purpuratus,58,
Cannery Row,20240410,5,36.61419,-121.89785,36.61433,-121.8979,20,S. purpuratus,460,
