site,date,transect,species,crevice_depth_cm,crevice_width_cm,position_m,size_cm,agg_counts,agg_id,agg_number,agg_name,presence
Hopkins,20020909,3,H_cracherodii,60,10,14,6,10,410,4,agg_Hopkins_20020909_T3_4,Yes
Hopkins,20020909,3,H_cracherodii,60,10,14,7,10,410,4,agg_Hopkins_20020909_T3_4,Yes
Hopkins,20020909,3,H_cracherodii,15,5,15,7,4,411,5,agg_Hopkins_20020909_T3_5,Yes
Hopkins,20020909,3,H_cracherodii,20,5,16,7,2,412,6,agg_Hopkins_20020909_T3_6,No
Hopkins,20020909,3,H_cracherodii,60,10,14,9.5,10,410,4,agg_Hopkins_20020909_T3_4,Yes
Hopkins,20020909,3,H_cracherodii,60,10,14,11.5,10,410,4,agg_Hopkins_20020909_T3_4,Yes
Hopkins,20020909,3,H_cracherodii,60,10,14,12,10,410,4,agg_Hopkins_20020909_T3_4,Yes
Hopkins,20020909,3,H_cracherodii,70,5,14,15.2,10,410,4,agg_Hopkins_20020909_T3_4,Yes
Hopkins,20020909,3,H_cracherodii,75,10,13,18,3,409,3,agg_Hopkins_20020909_T3_3,No
Hopkins,20020909,5,H_cracherodii,20,5,4,6,1,414,2,agg_Hopkins_20020909_T5_2,No
Hopkins,20020909,5,H_cracherodii,20,5,15,8,1,417,5,agg_Hopkins_20020909_T5_5,No
Hopkins,20020909,5,H_cracherodii,15,4,5,8,1,415,3,agg_Hopkins_20020909_T5_3,No
Hopkins,20020909,5,H_cracherodii,40,10,3,9,1,413,1,agg_Hopkins_20020909_T5_1,No
Hopkins,20020909,5,H_cracherodii,35,7,7,16,1,416,4,agg_Hopkins_20020909_T5_4,No
Soberanes,20021005,1,H_cracherodii,35,5,21,2.5,6,636,1,agg_Soberanes_20021005_T1_1,Yes
Soberanes,20021005,1,H_cracherodii,35,5,21,2.5,6,636,1,agg_Soberanes_20021005_T1_1,Yes
Soberanes,20021005,1,H_cracherodii,35,5,21,4.5,6,636,1,agg_Soberanes_20021005_T1_1,Yes
Soberanes,20021005,1,H_cracherodii,35,5,21,5,6,636,1,agg_Soberanes_20021005_T1_1,Yes
Soberanes,20021005,1,H_cracherodii,35,5,21,7,6,636,1,agg_Soberanes_20021005_T1_1,Yes
Soberanes,20021005,1,H_cracherodii,35,5,21,7,6,636,1,agg_Soberanes_20021005_T1_1,Yes
Soberanes,20021005,2,H_cracherodii,30,5,14,4,8,637,1,agg_Soberanes_20021005_T2_1,Yes
Soberanes,20021005,2,H_cracherodii,30,5,14,5,8,637,1,agg_Soberanes_20021005_T2_1,Yes
Soberanes,20021005,2,H_cracherodii,30,5,14,5,8,637,1,agg_Soberanes_20021005_T2_1,Yes
Soberanes,20021005,2,H_cracherodii,30,5,14,6,8,637,1,agg_Soberanes_20021005_T2_1,Yes
Soberanes,20021005,2,H_cracherodii,30,5,14,6,8,637,1,agg_Soberanes_20021005_T2_1,Yes
Soberanes,20021005,2,H_cracherodii,30,5,14,7,8,637,1,agg_Soberanes_20021005_T2_1,Yes
Soberanes,20021005,2,H_cracherodii,30,5,14,7,8,637,1,agg_Soberanes_20021005_T2_1,Yes
Soberanes,20021005,2,H_cracherodii,30,5,14,8,8,637,1,agg_Soberanes_20021005_T2_1,Yes
Soberanes,20021005,3,H_cracherodii,23,6,2,3,8,638,1,agg_Soberanes_20021005_T3_1,Yes
Soberanes,20021005,3,H_cracherodii,23,6,2,3,8,638,1,agg_Soberanes_20021005_T3_1,Yes
Soberanes,20021005,3,H_cracherodii,23,6,2,4,8,638,1,agg_Soberanes_20021005_T3_1,Yes
Soberanes,20021005,3,H_cracherodii,23,6,2,4,8,638,1,agg_Soberanes_20021005_T3_1,Yes
Soberanes,20021005,3,H_cracherodii,23,6,2,4,8,638,1,agg_Soberanes_20021005_T3_1,Yes
Soberanes,20021005,3,H_cracherodii,10,5,21,4,2,640,3,agg_Soberanes_20021005_T3_3,No
Soberanes,20021005,3,H_cracherodii,23,6,2,5,8,638,1,agg_Soberanes_20021005_T3_1,Yes
Soberanes,20021005,3,H_cracherodii,10,5,16,5,3,639,2,agg_Soberanes_20021005_T3_2,No
Soberanes,20021005,3,H_cracherodii,15,6,16,5,3,639,2,agg_Soberanes_20021005_T3_2,No
Soberanes,20021005,3,H_cracherodii,15,6,16,5,3,639,2,agg_Soberanes_20021005_T3_2,No
Soberanes,20021005,3,H_cracherodii,20,7,25,5,2,641,4,agg_Soberanes_20021005_T3_4,No
Soberanes,20021005,3,H_cracherodii,20,7,25,5,2,641,4,agg_Soberanes_20021005_T3_4,No
Soberanes,20021005,3,H_cracherodii,20,10,27,5,8,642,5,agg_Soberanes_20021005_T3_5,Yes
Soberanes,20021005,3,H_cracherodii,20,10,27,5,8,642,5,agg_Soberanes_20021005_T3_5,Yes
Soberanes,20021005,3,H_cracherodii,20,10,30,5,4,644,7,agg_Soberanes_20021005_T3_7,Yes
Soberanes,20021005,3,H_cracherodii,20,10,30,5,4,644,7,agg_Soberanes_20021005_T3_7,Yes
Soberanes,20021005,3,H_cracherodii,23,6,2,6,8,638,1,agg_Soberanes_20021005_T3_1,Yes
Soberanes,20021005,3,H_cracherodii,23,6,2,6,8,638,1,agg_Soberanes_20021005_T3_1,Yes
Soberanes,20021005,3,H_cracherodii,20,10,27,6,8,642,5,agg_Soberanes_20021005_T3_5,Yes
Soberanes,20021005,3,H_cracherodii,20,10,27,6,8,642,5,agg_Soberanes_20021005_T3_5,Yes
Soberanes,20021005,3,H_cracherodii,20,10,30,6,4,644,7,agg_Soberanes_20021005_T3_7,Yes
Soberanes,20021005,3,H_cracherodii,20,10,27,6.5,8,642,5,agg_Soberanes_20021005_T3_5,Yes
Soberanes,20021005,3,H_cracherodii,10,5,21,7,2,640,3,agg_Soberanes_20021005_T3_3,No
Soberanes,20021005,3,H_cracherodii,20,10,27,7,8,642,5,agg_Soberanes_20021005_T3_5,Yes
Soberanes,20021005,3,H_cracherodii,20,10,30,7,4,644,7,agg_Soberanes_20021005_T3_7,Yes
Soberanes,20021005,3,H_cracherodii,20,10,27,9,8,642,5,agg_Soberanes_20021005_T3_5,Yes
Soberanes,20021005,3,H_cracherodii,20,10,27,10,8,642,5,agg_Soberanes_20021005_T3_5,Yes
Soberanes,20021005,3,H_cracherodii,6,6,29,5,1,643,6,agg_Soberanes_20021005_T3_6,No
Soberanes,20021005,4,H_cracherodii,5,5,16,0.5,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,0.5,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,0.5,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,0.5,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,10,5,30,2.5,2,657,13,agg_Soberanes_20021005_T4_13,No
Soberanes,20021005,4,H_cracherodii,10,5,23,3,3,654,10,agg_Soberanes_20021005_T4_10,No
Soberanes,20021005,4,H_cracherodii,5,5,16,3.5,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,3.5,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,15,10,21,3.5,3,652,8,agg_Soberanes_20021005_T4_8,No
Soberanes,20021005,4,H_cracherodii,5,5,16,4,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,4,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,4,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,4,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,4,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,4,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,4,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,4,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,15,5,23,4,3,654,10,agg_Soberanes_20021005_T4_10,No
Soberanes,20021005,4,H_cracherodii,5,5,16,4.5,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,4.5,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,4.5,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,4.5,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,4.5,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,20,5,5,5,4,646,2,agg_Soberanes_20021005_T4_2,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,5,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,5,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,5,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,5,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,5,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,5,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,5,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,5,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,5,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,5,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,5,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,5,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,5,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,10,5,23,5,3,654,10,agg_Soberanes_20021005_T4_10,No
Soberanes,20021005,4,H_cracherodii,5,5,16,5.5,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,10,8,NA,6,1,658,14,agg_Soberanes_20021005_T4_14,No
Soberanes,20021005,4,H_cracherodii,20,5,5,6,4,646,2,agg_Soberanes_20021005_T4_2,Yes
Soberanes,20021005,4,H_cracherodii,20,5,5,6,4,646,2,agg_Soberanes_20021005_T4_2,Yes
Soberanes,20021005,4,H_cracherodii,20,9,9,6,3,647,3,agg_Soberanes_20021005_T4_3,No
Soberanes,20021005,4,H_cracherodii,20,9,9,6,3,647,3,agg_Soberanes_20021005_T4_3,No
Soberanes,20021005,4,H_cracherodii,5,5,16,6,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,6,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,6,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,6,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,6,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,6,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,6,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,6,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,6,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,30,7,19,6,2,650,6,agg_Soberanes_20021005_T4_6,No
Soberanes,20021005,4,H_cracherodii,30,7,19,6,2,650,6,agg_Soberanes_20021005_T4_6,No
Soberanes,20021005,4,H_cracherodii,10,5,20,6,2,651,7,agg_Soberanes_20021005_T4_7,No
Soberanes,20021005,4,H_cracherodii,10,5,20,6,2,651,7,agg_Soberanes_20021005_T4_7,No
Soberanes,20021005,4,H_cracherodii,10,5,30,6,2,657,13,agg_Soberanes_20021005_T4_13,No
Soberanes,20021005,4,H_cracherodii,15,10,21,6,3,652,8,agg_Soberanes_20021005_T4_8,No
Soberanes,20021005,4,H_cracherodii,15,10,21,6,3,652,8,agg_Soberanes_20021005_T4_8,No
Soberanes,20021005,4,H_cracherodii,20,5,5,7,4,646,2,agg_Soberanes_20021005_T4_2,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,7,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,7,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,7,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,7,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,7,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,5,5,16,8,48,649,5,agg_Soberanes_20021005_T4_5,Yes
Soberanes,20021005,4,H_cracherodii,NA,NA,9,7,3,647,3,agg_Soberanes_20021005_T4_3,No
Soberanes,20021005,4,H_cracherodii,NA,NA,22,4,2,653,9,agg_Soberanes_20021005_T4_9,No
Soberanes,20021005,4,H_cracherodii,NA,NA,22,4,2,653,9,agg_Soberanes_20021005_T4_9,No
Soberanes,20021005,4,H_cracherodii,NA,NA,27,4.5,1,656,12,agg_Soberanes_20021005_T4_12,No
Soberanes,20021005,4,H_cracherodii,NA,NA,24,4.5,2,655,11,agg_Soberanes_20021005_T4_11,No
Soberanes,20021005,4,H_cracherodii,NA,NA,24,5,2,655,11,agg_Soberanes_20021005_T4_11,No
Soberanes,20021005,4,H_cracherodii,NA,NA,15,6,1,648,4,agg_Soberanes_20021005_T4_4,No
Soberanes,20021005,4,H_cracherodii,NA,NA,3,7,1,645,1,agg_Soberanes_20021005_T4_1,No
Soberanes,20021005,5,H_cracherodii,30,5,25,6,2,659,1,agg_Soberanes_20021005_T5_1,No
Soberanes,20021005,5,H_cracherodii,30,5,25,7,2,659,1,agg_Soberanes_20021005_T5_1,No
Hopkins,20021021,7,H_cracherodii,30,10,1,7,1,418,1,agg_Hopkins_20021021_T7_1,No
Hopkins,20021021,7,H_cracherodii,150,10,29,8,2,419,2,agg_Hopkins_20021021_T7_2,No
Hopkins,20021021,7,H_cracherodii,150,10,29,9,2,419,2,agg_Hopkins_20021021_T7_2,No
Soberanes,20021023,6,H_cracherodii,10,5,7,3,3,661,2,agg_Soberanes_20021023_T6_2,No
Soberanes,20021023,6,H_cracherodii,15,5,3,4,5,660,1,agg_Soberanes_20021023_T6_1,Yes
Soberanes,20021023,6,H_cracherodii,20,5,3,4,5,660,1,agg_Soberanes_20021023_T6_1,Yes
Soberanes,20021023,6,H_cracherodii,15,3,8,5,2,662,3,agg_Soberanes_20021023_T6_3,No
Soberanes,20021023,6,H_cracherodii,15,5,3,5,5,660,1,agg_Soberanes_20021023_T6_1,Yes
Soberanes,20021023,6,H_cracherodii,20,5,3,5,5,660,1,agg_Soberanes_20021023_T6_1,Yes
Soberanes,20021023,6,H_cracherodii,10,5,7,5,3,661,2,agg_Soberanes_20021023_T6_2,No
Soberanes,20021023,6,H_cracherodii,15,3,8,6,2,662,3,agg_Soberanes_20021023_T6_3,No
Soberanes,20021023,6,H_cracherodii,15,5,3,6,5,660,1,agg_Soberanes_20021023_T6_1,Yes
Soberanes,20021023,6,H_cracherodii,10,5,7,7,3,661,2,agg_Soberanes_20021023_T6_2,No
Soberanes,20021023,7,H_cracherodii,30,15,25,5,3,665,3,agg_Soberanes_20021023_T7_3,No
Soberanes,20021023,7,H_cracherodii,30,10,2,4,8,663,1,agg_Soberanes_20021023_T7_1,Yes
Soberanes,20021023,7,H_cracherodii,30,10,2,5,8,663,1,agg_Soberanes_20021023_T7_1,Yes
Soberanes,20021023,7,H_cracherodii,30,10,2,5,8,663,1,agg_Soberanes_20021023_T7_1,Yes
Soberanes,20021023,7,H_cracherodii,30,15,10,5,2,664,2,agg_Soberanes_20021023_T7_2,No
Soberanes,20021023,7,H_cracherodii,30,15,25,5,3,665,3,agg_Soberanes_20021023_T7_3,No
Soberanes,20021023,7,H_cracherodii,30,10,2,6,8,663,1,agg_Soberanes_20021023_T7_1,Yes
Soberanes,20021023,7,H_cracherodii,30,10,2,6,8,663,1,agg_Soberanes_20021023_T7_1,Yes
Soberanes,20021023,7,H_cracherodii,30,10,2,6,8,663,1,agg_Soberanes_20021023_T7_1,Yes
Soberanes,20021023,7,H_cracherodii,30,15,25,6,3,665,3,agg_Soberanes_20021023_T7_3,No
Soberanes,20021023,7,H_cracherodii,30,10,2,7,8,663,1,agg_Soberanes_20021023_T7_1,Yes
Soberanes,20021023,7,H_cracherodii,30,15,10,8,2,664,2,agg_Soberanes_20021023_T7_2,No
Soberanes,20021023,7,H_cracherodii,30,10,2,9,8,663,1,agg_Soberanes_20021023_T7_1,Yes
Pt Pinos,20021103,1,H_cracherodii,40,5,28,5,1,490,2,agg_Pt Pinos_20021103_T1_2,No
Pt Pinos,20021103,1,H_cracherodii,40,20,19,7,2,489,1,agg_Pt Pinos_20021103_T1_1,No
Pt Pinos,20021103,1,H_cracherodii,40,20,19,11,2,489,1,agg_Pt Pinos_20021103_T1_1,No
Pt Pinos,20021103,3,H_cracherodii,30,5,10,4,6,492,2,agg_Pt Pinos_20021103_T3_2,Yes
Pt Pinos,20021103,3,H_cracherodii,25,5,5,5,2,491,1,agg_Pt Pinos_20021103_T3_1,No
Pt Pinos,20021103,3,H_cracherodii,30,5,10,5,6,492,2,agg_Pt Pinos_20021103_T3_2,Yes
Pt Pinos,20021103,3,H_cracherodii,30,5,10,6,6,492,2,agg_Pt Pinos_20021103_T3_2,Yes
Pt Pinos,20021103,3,H_cracherodii,25,5,5,7,2,491,1,agg_Pt Pinos_20021103_T3_1,No
Pt Pinos,20021103,3,H_cracherodii,30,5,10,7,6,492,2,agg_Pt Pinos_20021103_T3_2,Yes
Pt Pinos,20021103,3,H_cracherodii,30,5,10,7,6,492,2,agg_Pt Pinos_20021103_T3_2,Yes
Pt Pinos,20021103,3,H_cracherodii,30,5,10,8,6,492,2,agg_Pt Pinos_20021103_T3_2,Yes
Pt Pinos,20021103,3,H_cracherodii,25,5,12,11,1,493,3,agg_Pt Pinos_20021103_T3_3,No
Pt Pinos,20021103,3,H_cracherodii,15,5,30,3,1,496,6,agg_Pt Pinos_20021103_T3_6,No
Pt Pinos,20021103,3,H_cracherodii,15,10,18,5,1,494,4,agg_Pt Pinos_20021103_T3_4,No
Pt Pinos,20021103,3,H_cracherodii,20,5,25,6,1,495,5,agg_Pt Pinos_20021103_T3_5,No
Pt Pinos,20021103,4,H_cracherodii,10,4,10,4,3,497,1,agg_Pt Pinos_20021103_T4_1,No
Pt Pinos,20021103,4,H_cracherodii,10,4,10,4,3,497,1,agg_Pt Pinos_20021103_T4_1,No
Pt Pinos,20021103,4,H_cracherodii,10,4,10,5,3,497,1,agg_Pt Pinos_20021103_T4_1,No
Pt Pinos,20021103,4,H_cracherodii,20,5,16,5,3,498,2,agg_Pt Pinos_20021103_T4_2,No
Pt Pinos,20021103,4,H_cracherodii,20,5,16,5,3,498,2,agg_Pt Pinos_20021103_T4_2,No
Pt Pinos,20021103,4,H_cracherodii,30,5,22,5,1,499,3,agg_Pt Pinos_20021103_T4_3,No
Pt Pinos,20021103,4,H_cracherodii,20,5,16,7,3,498,2,agg_Pt Pinos_20021103_T4_2,No
Pt Pinos,20021103,5,H_cracherodii,15,5,26,2,7,503,4,agg_Pt Pinos_20021103_T5_4,Yes
Pt Pinos,20021103,5,H_cracherodii,30,10,8,4,5,501,2,agg_Pt Pinos_20021103_T5_2,Yes
Pt Pinos,20021103,5,H_cracherodii,30,10,8,4,5,501,2,agg_Pt Pinos_20021103_T5_2,Yes
Pt Pinos,20021103,5,H_cracherodii,15,5,26,4,7,503,4,agg_Pt Pinos_20021103_T5_4,Yes
Pt Pinos,20021103,5,H_cracherodii,15,5,26,4,7,503,4,agg_Pt Pinos_20021103_T5_4,Yes
Pt Pinos,20021103,5,H_cracherodii,20,5,28,4,7,504,5,agg_Pt Pinos_20021103_T5_5,Yes
Pt Pinos,20021103,5,H_cracherodii,20,5,28,4,7,504,5,agg_Pt Pinos_20021103_T5_5,Yes
Pt Pinos,20021103,5,H_cracherodii,20,5,6,5,2,500,1,agg_Pt Pinos_20021103_T5_1,No
Pt Pinos,20021103,5,H_cracherodii,20,5,6,5,2,500,1,agg_Pt Pinos_20021103_T5_1,No
Pt Pinos,20021103,5,H_cracherodii,10,10,22,5,1,502,3,agg_Pt Pinos_20021103_T5_3,No
Pt Pinos,20021103,5,H_cracherodii,15,5,26,5,7,503,4,agg_Pt Pinos_20021103_T5_4,Yes
Pt Pinos,20021103,5,H_cracherodii,15,5,26,5,7,503,4,agg_Pt Pinos_20021103_T5_4,Yes
Pt Pinos,20021103,5,H_cracherodii,20,5,28,5,7,504,5,agg_Pt Pinos_20021103_T5_5,Yes
Pt Pinos,20021103,5,H_cracherodii,20,5,28,5,7,504,5,agg_Pt Pinos_20021103_T5_5,Yes
Pt Pinos,20021103,5,H_cracherodii,30,10,8,6,5,501,2,agg_Pt Pinos_20021103_T5_2,Yes
Pt Pinos,20021103,5,H_cracherodii,30,10,8,6,5,501,2,agg_Pt Pinos_20021103_T5_2,Yes
Pt Pinos,20021103,5,H_cracherodii,15,5,26,6,7,503,4,agg_Pt Pinos_20021103_T5_4,Yes
Pt Pinos,20021103,5,H_cracherodii,25,5,29,6,2,505,6,agg_Pt Pinos_20021103_T5_6,No
Pt Pinos,20021103,5,H_cracherodii,20,5,28,6,7,504,5,agg_Pt Pinos_20021103_T5_5,Yes
Pt Pinos,20021103,5,H_cracherodii,20,5,28,6,7,504,5,agg_Pt Pinos_20021103_T5_5,Yes
Pt Pinos,20021103,5,H_cracherodii,15,5,26,7,7,503,4,agg_Pt Pinos_20021103_T5_4,Yes
Pt Pinos,20021103,5,H_cracherodii,25,5,29,7,2,505,6,agg_Pt Pinos_20021103_T5_6,No
Pt Pinos,20021103,5,H_cracherodii,30,10,8,8,5,501,2,agg_Pt Pinos_20021103_T5_2,Yes
Pt Pinos,20021103,5,H_cracherodii,20,5,28,8,7,504,5,agg_Pt Pinos_20021103_T5_5,Yes
Pt Pinos,20021104,6,H_cracherodii,30,10,28,12,2,508,3,agg_Pt Pinos_20021104_T6_3,No
Pt Pinos,20021104,6,H_cracherodii,40,10,28,6,2,508,3,agg_Pt Pinos_20021104_T6_3,No
Pt Pinos,20021104,6,H_cracherodii,40,10,22,6,1,507,2,agg_Pt Pinos_20021104_T6_2,No
Pt Pinos,20021104,6,H_cracherodii,10,3,18,7,1,506,1,agg_Pt Pinos_20021104_T6_1,No
Cannery Row,20021116,3,H_cracherodii,20,10,26,10,1,1,1,agg_Cannery Row_20021116_T3_1,No
Cannery Row,20021116,4,H_cracherodii,30,15,2,6,1,2,1,agg_Cannery Row_20021116_T4_1,No
Carmel Pt,20021118,1,H_cracherodii,28,22,15,4.5,32,52,1,agg_Carmel Pt_20021118_T1_1,Yes
Carmel Pt,20021118,1,H_cracherodii,28,22,15,4.5,32,52,1,agg_Carmel Pt_20021118_T1_1,Yes
